Query	Gene	cor	pvalue
NKX2-1	PIANP	-0.146856053252597	0.000966611257703364
NKX2-1	TAF1A	-0.177407826153359	6.42252967440002e-05
NKX2-1	IGFBPL1	0.0556450560225617	0.213277431843225
NKX2-1	TRBV27	0.133453112933642	0.00273526310396025
NKX2-1	LINC00638	-0.0907269634410225	0.0421643294026626
NKX2-1	CORO2A	-0.188716264932714	2.08102270188637e-05
NKX2-1	USP43	0.0822430650785583	0.0655905407431523
NKX2-1	WDR97	0.0220307887952193	0.622410495152756
NKX2-1	ADCY6	0.230449881980662	1.78081024513272e-07
NKX2-1	SNAPC4	-0.0036927733108311	0.934223731025568
NKX2-1	TENT4A	0.00339437470585759	0.939528249942854
NKX2-1	MAP3K9	0.151729406890898	0.000647620297261805
NKX2-1	MYH11	0.0311599704999842	0.486066307253252
NKX2-1	IGHV1-45	0.0506199320708425	0.257610833829089
NKX2-1	PHF2	-0.0884769232785268	0.0475573911308075
NKX2-1	RSPO1	0.204282790869306	3.94294588296384e-06
NKX2-1	RGS9	-0.154693651658992	0.000504631776969134
NKX2-1	LYST	0.0692947840933806	0.121005192184226
NKX2-1	EGF	0.0593415950351901	0.184368096124915
NKX2-1	IGHV3-76	0.0520048592081285	0.244801162811832
NKX2-1	AL096828.3	-0.0149641689952848	0.738032125642611
NKX2-1	AC002310.1	-0.144701897230254	0.00114942445575492
NKX2-1	AC002480.1	-0.0104437826549026	0.815435509474159
NKX2-1	CASS4	0.400117999770872	1.00749042890893e-20
NKX2-1	GNPTAB	0.0392074909245525	0.38070122310629
NKX2-1	AC024558.1	-0.0234558440745512	0.600070886179528
NKX2-1	CGAS	0.00981753061793883	0.826321169904654
NKX2-1	SNN	0.087846972760524	0.0491670179682104
NKX2-1	KLHL23	-0.053092227295256	0.235061027688818
NKX2-1	NACAD	0.0156472945639024	0.726540844056671
NKX2-1	ESRP2	0.117486033944715	0.00841657718771388
NKX2-1	PRSS35	0.0795110225475648	0.0751004294799934
NKX2-1	BLOC1S6	-0.107614241273995	0.0158594839844993
NKX2-1	TMEM9	-0.0350424360505344	0.433379555925839
NKX2-1	FAM214A	0.205244191351338	3.54261302652995e-06
NKX2-1	LRRC15	-0.12998257820338	0.003529264629641
NKX2-1	RAB30	-0.0344140306059883	0.441677036824583
NKX2-1	JPH3	0.0290550919768956	0.516012676479975
NKX2-1	TTC1	0.0737128877272245	0.0990061065362767
NKX2-1	MFSD13A	0.164773982930238	0.000208909742332215
NKX2-1	DNMT1	-0.125334812855919	0.00491935102149076
NKX2-1	SAMHD1	0.255766630797308	6.12810957153051e-09
NKX2-1	MSN	0.1427463629325	0.00134245169765005
NKX2-1	AC090616.6	-0.0132565946161101	0.767007620858465
NKX2-1	SLC38A7	-0.0142447369349597	0.750197515484822
NKX2-1	ATAT1	0.00013799966527687	0.99753914931544
NKX2-1	RNU7-40P	-0.039575407136858	0.37624437394302
NKX2-1	ERG	0.255960590393986	5.96325869510056e-09
NKX2-1	MAGEA9B	-0.105003141836072	0.0186087844812392
NKX2-1	APOC3	-0.0111428794566502	0.803325553915878
NKX2-1	IL18BP	0.293511015732931	1.97131867692718e-11
NKX2-1	MAP4K3-DT	0.0731846455573786	0.101455646096929
NKX2-1	BX679664.3	-0.145066879086941	0.00111636301944497
NKX2-1	RPL13AP25	-0.0586346976940517	0.189660215630713
NKX2-1	FRMD3	0.200158005939313	6.20608747714254e-06
NKX2-1	RNA5SP151	-0.0788179610904011	0.0776835545648001
NKX2-1	AC008875.2	0.0767172665140543	0.0859565101276472
NKX2-1	SERPINB13	-0.21808817370261	8.06980651781502e-07
NKX2-1	TTLL11	0.0783762996073707	0.079366994229874
NKX2-1	AZGP1	0.340250902910287	4.52160392553721e-15
NKX2-1	SURF2	-0.182082308030128	4.0641197717122e-05
NKX2-1	PALM2AKAP2	0.324338468183525	9.25155437038679e-14
NKX2-1	BORCS5	-0.157843952571803	0.000385213254464129
NKX2-1	RTTN	-0.0823504122434911	0.0652380835827103
NKX2-1	ZNF782	-0.0936295745983266	0.0359773610265654
NKX2-1	PLA2G12A	0.16993265406364	0.000130363719167866
NKX2-1	LRCH2	0.197759506794282	8.04481556869925e-06
NKX2-1	DLGAP5	-0.187790931300911	2.28789012388374e-05
NKX2-1	EVI5L	-0.0308584615593114	0.49029760868853
NKX2-1	MIR6814	-0.0653056585730537	0.14398552802362
NKX2-1	ATP6V0A1	0.11920833361233	0.00750000188483134
NKX2-1	ATP5MG	0.0110794658620201	0.804422129945894
NKX2-1	H3C9P	-0.078272660624051	0.0797662792881989
NKX2-1	DNAJC10	0.0999078821991174	0.0251888157856141
NKX2-1	AL590617.2	-0.226616431199411	2.87175319735306e-07
NKX2-1	CCDC159	0.196626419131832	9.08415431771949e-06
NKX2-1	CLDN4	0.136337879917259	0.00220311678558885
NKX2-1	PPP4R1	0.0431986763013624	0.334084281100025
NKX2-1	AC004069.1	-0.0902303955077486	0.0433079426601917
NKX2-1	D2HGDH	0.0511750558797315	0.252421707719541
NKX2-1	CORIN	-0.0520649674147091	0.244255476499561
NKX2-1	CALM2	0.0384296105043443	0.390230139360467
NKX2-1	AC002059.1	0.0535897083249797	0.230697251752697
NKX2-1	TIPARP	0.200525556018664	5.96249029602385e-06
NKX2-1	TMEM231	0.0841456223065941	0.0595710526772935
NKX2-1	THTPA	-0.00500598935279571	0.910916912369577
NKX2-1	BRAP	-0.106006215532966	0.0175069694709888
NKX2-1	POC1B	0.023735280128483	0.595733116875047
NKX2-1	OCEL1	0.248278136886587	1.72638438624655e-08
NKX2-1	TMEM248	-0.0755512533166931	0.0908462913837999
NKX2-1	RPS12	-0.0392982318549315	0.379599016649612
NKX2-1	ZNF234	0.0782695272535212	0.0797783763832784
NKX2-1	CKAP5	-0.161383827797053	0.000282681715451468
NKX2-1	ATP8B1	-0.114461684960833	0.0102700411708119
NKX2-1	PI16	0.0947762473682073	0.0337552979505091
NKX2-1	SSTR2	-0.0314418254508302	0.482128701912042
NKX2-1	CD70	0.00171601770495938	0.969406895890167
NKX2-1	CCNB1IP1	-0.213418227428897	1.39655363046304e-06
NKX2-1	AP005230.1	-0.206698425587527	3.01003993921676e-06
NKX2-1	LIG1	-0.0995272821861746	0.025752461649075
NKX2-1	DUSP7	-0.173847782748435	9.0305237827736e-05
NKX2-1	LASP1	0.11329077610006	0.0110796950772236
NKX2-1	RAB43P1	0.0921984266283853	0.0389240419188711
NKX2-1	RPSAP7	-0.0320119687551543	0.47421676085635
NKX2-1	MMP24OS	0.16003126917173	0.000318406116855484
NKX2-1	YARS2	-0.210265643647089	2.00852261139869e-06
NKX2-1	HTATSF1P2	0.0584584075553534	0.190997212429786
NKX2-1	LEMD2	-0.0388261353835948	0.385354838262404
NKX2-1	TES	0.0633760288940422	0.156235055367696
NKX2-1	PDZD2	0.138480684317944	0.00187105695946097
NKX2-1	UBL7-AS1	-0.177393721113754	6.43129207355858e-05
NKX2-1	RCBTB2	0.0120844389609782	0.787090201043471
NKX2-1	FTOP1	-0.00110916419414104	0.9802230455309
NKX2-1	PABPC4L	-0.0180966365577821	0.68585688253352
NKX2-1	SLC15A4	0.0841291476654077	0.0596211451359977
NKX2-1	AGGF1	-0.00451493125846068	0.919624301687899
NKX2-1	ALDH3A2	-0.0229422774910522	0.60808004795004
NKX2-1	CNMD	-0.0209417772135012	0.639720492650069
NKX2-1	ACYP2	0.0494455055695945	0.268830893622092
NKX2-1	SOX2	-0.251749890898514	1.07249479538583e-08
NKX2-1	VMP1	0.0379096128146329	0.396679898693181
NKX2-1	NFRKB	0.0461981664675504	0.301576912862274
NKX2-1	COX10	-0.058222916565809	0.192793964650106
NKX2-1	LINC01139	-0.0153574330897762	0.73140946793501
NKX2-1	PTH1R	0.321586628159692	1.53195659197111e-13
NKX2-1	SYMPK	0.0461157287678893	0.302441285676937
NKX2-1	IGBP1	-0.0583090734608941	0.192135172555945
NKX2-1	OXGR1	-0.17001852888348	0.00012932923619159
NKX2-1	TMEM200C	-0.0319116187031671	0.475604150997415
NKX2-1	AC132872.3	0.123589310168275	0.00555767709466173
NKX2-1	RNU6-118P	0.100546037635898	0.0242676266347606
NKX2-1	ZNF550	0.0381144458728771	0.39413164420369
NKX2-1	PRPF40B	-0.059982729730361	0.179663271386329
NKX2-1	NALT1	-0.118639173703764	0.00779251339671797
NKX2-1	CISD2	-0.00792399554615825	0.859429734538161
NKX2-1	CBL	0.0399692319064659	0.37150941325527
NKX2-1	ABCA4	-0.0512322364587677	0.251891357171619
NKX2-1	MRPS9	-0.116745799694338	0.00884030450408083
NKX2-1	DSP	-0.247209454894888	1.99597771606238e-08
NKX2-1	RABL2B	0.0183211991863694	0.682169791228127
NKX2-1	AC003102.1	-0.0416667473134365	0.351524830976439
NKX2-1	PEX7	-0.0296969155285135	0.506781387072937
NKX2-1	AC007014.2	0.0275858765600697	0.537466946765425
NKX2-1	LBH	0.152555289738506	0.00060440516034978
NKX2-1	FLVCR1-DT	-0.0785502154309975	0.0787005990139148
NKX2-1	AL121761.1	-0.156162933960598	0.000445197076587546
NKX2-1	AL606760.1	-0.0831764583924087	0.062577680880251
NKX2-1	SLFN13	0.168701632624666	0.000146074177844154
NKX2-1	LYG1	-0.000131715298681942	0.997651213661437
NKX2-1	C7orf57	0.177412906587345	6.41937634393377e-05
NKX2-1	ELOVL7	-0.0239352252287306	0.592638086392821
NKX2-1	ACTL8	-0.0560433108056637	0.210014542129207
