gene	lowMean	highMean	logFC	pValue	fdr
AL121761.1	4.44508605577689	1.8312736	-1.27936399758513	0.00797629722719213	0.0306267713272949
CAMKV	0.389333466135458	0.1763076	-1.1429116949861	0.00178096949166289	0.0095015676849772
AP001063.1	0.0750402390438247	0.1507634	1.00654990724662	0.000815335392942	0.00501477910560528
AC005550.2	0.0336	0.1136286	1.75779286472843	0.000719407374873929	0.00453051345404439
SHE	1.2961	2.8034518	1.11302723264148	4.30882592462176e-20	3.39626461002885e-18
Z97192.4	0.209358964143426	1.335944	2.67380893776806	1.22720315532117e-13	5.58117874936081e-12
AC078905.1	0.0727438247011952	0.1463874	1.0088946954502	7.80652893670038e-06	9.45578570349855e-05
SLC39A8	12.3875896414343	34.1161556	1.46155958748221	2.57499377334519e-33	4.40832373503006e-31
AC004847.1	1.66926772908367	4.294767	1.36336450129866	2.20717951944023e-25	2.49262903880313e-23
GP9	0.0479211155378486	0.1162286	1.27823171419035	1.02002745358786e-09	2.7862091359283e-08
NUTM1	0.439291633466135	0.1055412	-2.05737273069485	0.0042265788337043	0.0186661166434939
FGL1	0.158626693227092	2.9446104	4.21436929538411	2.01031053916484e-24	2.1613250668669e-22
STK32A	0.636598007968127	2.3938878	1.9109009880299	4.45045909672971e-39	1.09742605139359e-36
B3GAT1-DT	0.0393553784860558	0.1363002	1.7921549594589	1.05823213843783e-11	3.76730641283868e-10
AL157388.1	0.137006374501992	0.3340598	1.28586336337611	1.18078883022725e-14	5.91010096440373e-13
TNFSF8	2.21215816733068	5.312802	1.26401840611088	5.56103414052013e-07	8.97714568341742e-06
NPTX1	1.55742788844622	6.8241218	2.13147803118958	2.10921678512452e-11	7.20349793527025e-10
BTBD16	3.02348844621514	0.8513426	-1.82840233816242	0.00511072439209053	0.02166656943385
C6orf15	42.698341434263	21.3216566	-1.00186049759693	0.0143211016468329	0.0479415332000965
LILRA4	0.700581673306773	1.4306438	1.03003936234845	1.60428762880862e-08	3.60777147624018e-07
LINC00940	0.0118390438247012	0.0516804	2.12606466933347	9.53216513060057e-15	4.82496298267951e-13
AC108215.1	0.152403187250996	0.385181	1.33764346581945	1.68853596448123e-15	9.11334731994508e-14
C3orf86	0.175143824701195	0.4091608	1.22412781121915	2.35093317542598e-13	1.04790019716583e-11
SERPINA1	56.9957573705179	301.3816646	2.40266521162345	4.15751440634156e-56	3.60469910366608e-53
AC011511.5	0.0674274900398406	0.1640826	1.28301345753448	1.93001205428546e-10	5.84834994307605e-09
SYT15	0.0984191235059761	0.2343464	1.25163205909981	5.86490747777428e-22	5.20254069926129e-20
CLDN10-AS1	0.164377290836653	0.6584132	2.00198225889025	9.66714860859369e-08	1.83757864428417e-06
PRDM16-DT	0.216237450199203	0.5830916	1.43110613418877	2.56978316038045e-26	3.08351034753151e-24
AC126323.6	0.0203888446215139	0.0420988	1.04599908655664	5.73558032586656e-20	4.46843269561279e-18
AC243829.4	0.409566533864542	0.8856636	1.11266099063678	2.0062329688035e-12	7.96507086196462e-11
GNA14	1.89774581673307	4.8262032	1.34660188799021	8.7339866227359e-28	1.13957326430046e-25
MUC1	51.4055788844622	130.3405882	1.34228956651839	9.82058308902138e-31	1.46643129037065e-28
SERTM2	0.0576223107569721	0.8097008	3.81268948153395	2.15179999475619e-44	7.22951003238211e-42
NRAP	0.0369852589641434	0.0740434	1.00142076655223	1.87429108855367e-10	5.69233851730458e-09
AL591178.1	0.0827888446215139	0.4148842	2.32520042615606	6.90342990028387e-22	6.08361930687967e-20
DCDC2	0.621335059760956	1.3424924	1.11147055305882	6.51684873202872e-34	1.17556953167428e-31
AC099509.1	0.0777609561752988	0.3448728	2.14894648438347	3.14984402156959e-27	4.03150036246416e-25
AC084375.1	0.216170916334661	2.0292668	3.23071421657362	5.11281772324401e-53	3.05382921700783e-50
RN7SKP51	0.21863187250996	1.4688086	2.74807077110826	2.37159724301212e-38	5.59156058751577e-36
PRSS1	1.07809601593625	3.0495452	1.50010842834215	1.31565372852103e-26	1.6295917472437e-24
CACNG6	0.878936653386454	1.8293198	1.05747621126117	4.76727057001278e-06	6.167262042888e-05
DRAIC	0.113824701195219	0.302057	1.4080071485046	0.00215611144683676	0.0110132959840514
FXYD4	0.499637450199203	1.1646736	1.22097217300683	5.03659880305025e-05	0.000481585566091728
SLC26A4	0.940139442231076	2.489909	1.4051463568791	1.12982744039678e-18	8.05504030317895e-17
AC084759.3	0.015407171314741	0.0599582	1.96035505887122	2.29454526573207e-11	7.78816624874124e-10
ATOH8	0.722058565737052	3.3794576	2.22660395069035	1.31456538010492e-53	8.41259244915715e-51
TMEM132C	0.183980478087649	0.3725126	1.01773653259397	2.09922914920287e-07	3.73662788558111e-06
AL359813.2	0.0488625498007968	0.184533	1.91707778120157	2.32996874940628e-19	1.74442618514045e-17
AC074286.1	0.184307569721116	0.090586	-1.0247553201591	4.89043256323567e-12	1.84096703689984e-10
AC097375.1	0.0872167330677291	0.1919224	1.13784624723172	4.28272936973112e-05	0.000417978213506293
ONECUT3	0.618201195219124	0.2741804	-1.17295100085798	0.0120277795192849	0.0420940960832473
U62631.1	0.551245816733068	1.111801	1.01213087724768	3.90857162840542e-07	6.53324553658463e-06
SLC25A47P1	0.148874103585657	0.4820432	1.69506962322049	1.45376092302091e-11	5.07456962194234e-10
LHFPL3-AS2	0.957913944223108	2.417666	1.33564699035565	4.02315795010911e-22	3.66557421637399e-20
LINC01863	0.0409808764940239	0.476847	3.54050369478195	1.25954305508862e-21	1.09206445918297e-19
CALB1	22.0195701195219	8.9167454	-1.3041971743404	0.00193765836305386	0.0101560806322468
LANCL1-AS1	0.429151394422311	0.8738932	1.02597029016777	5.09535628179796e-17	3.16288651598535e-15
CGB5	0.191124701195219	0.839727	2.13540612971904	0.00051751380628138	0.00345027739638094
PPP1R14D	1.91779163346614	5.5818988	1.54130998733154	1.20917714680838e-08	2.76127980899878e-07
WFDC10B	0.725963346613546	1.5064776	1.05321060698328	1.34312335563709e-12	5.4450180320986e-11
CEACAM6	127.983078486056	317.2353516	1.30960047459576	3.95100593026384e-16	2.23099028137881e-14
IL1RL1	0.919631075697211	5.535351	2.58954767928796	9.03212833145207e-14	4.14983838107297e-12
C1orf68	1.25675219123506	0.6278758	-1.00114909127232	0.0143098502268335	0.0479098348775325
C11orf97	0.507194023904383	1.13967	1.1680064897819	1.84554355510264e-06	2.65123034067604e-05
CRLF1	11.7945490039841	26.7149806	1.17952871515646	6.23563283171961e-12	2.31813747235076e-10
C7	10.0247836653386	33.623931	1.74591729735524	1.79775037357598e-26	2.20638970506736e-24
FCER1A	3.43170438247012	8.3137384	1.27657207283146	1.34240947441236e-11	4.72887049190765e-10
ADAMTS7P3	0.221717928286853	0.5371608	1.27662859369846	7.26537537022245e-05	0.000660618265226113
AC023796.1	0.0447840637450199	0.123727	1.4661030123614	4.17869051551555e-09	1.03802997852151e-07
AC009244.1	0.139778884462151	1.1586718	3.05125362990004	1.01075218186168e-55	8.48968660752445e-53
SCGB3A2	25.1964266932271	327.992363	3.7023711701865	1.68809378236571e-56	1.56457188560088e-53
SCTR	0.799821115537849	6.576185	3.03950161083389	1.36258060564881e-61	2.1543200893311e-58
CCL18	140.361282868526	312.9022768	1.15656711743312	1.56510051397603e-13	7.10587358355536e-12
TMEM59L	1.88005338645418	6.2833744	1.74076591720401	2.48163915911671e-14	1.20399814654763e-12
MRGPRE	0.0625641434262948	0.2958726	2.24156813236969	7.09138360929554e-13	2.97351339548589e-11
C6	0.400383665338645	1.2436358	1.63510903051609	5.28756101828162e-18	3.56188132955823e-16
TRIM55	0.325551792828685	0.78614	1.27189917466072	3.74143265724628e-07	6.28513918509159e-06
CNIH3-AS1	0.868969322709163	0.4137504	-1.07054453969501	0.00455457689513795	0.0197831153502776
AOC1	2.95206175298805	6.6883208	1.17992114593211	3.67275010119421e-07	6.17748292990601e-06
LINC01724	0.0547011952191235	0.1522272	1.47658190173144	0.0127293970494044	0.0439656558588912
KRT76	1.48235258964143	0.471515	-1.65251307296989	1.25829361369361e-05	0.000144137591115081
LINC02688	0.197921115537849	0.5486876	1.4710594352857	3.40537458467665e-18	2.32308776870404e-16
RNU6-247P	0.300879282868526	1.068265	1.82801289669308	3.76113644181641e-12	1.44416893261631e-10
AC130456.3	0.111057370517928	0.274462	1.30530127500041	2.12135969130253e-11	7.23577484553673e-10
STEAP4	4.08269203187251	10.5961266	1.37594433537679	2.2339640758154e-33	3.84979772670932e-31
HCN4	0.201627091633466	0.443031	1.13571815168663	0.00375399883158293	0.016996378208787
HTR3C	0.380950996015936	0.7759826	1.02641887571829	1.32605469542344e-05	0.000150641158510529
C5orf64	0.00565657370517928	0.0122582	1.11574679378704	0.000239898813556813	0.00182948730866194
ANKRD1	1.87046494023904	5.828725	1.63978341226456	3.8514076288194e-31	5.91532195699473e-29
AC092868.1	0.144516733067729	0.3884214	1.42638614112668	2.13880161308021e-08	4.66612903866639e-07
AC093772.2	0.0489107569721116	0.1117052	1.19147264845443	9.74626320402478e-07	1.49063028368148e-05
KIAA0087	0.0183768924302789	0.0542402	1.56146967353723	0.000851076550519544	0.00519183738648759
RPS29P11	0.659730677290837	5.053982	2.93747142956421	9.32924421486265e-54	6.11588843919703e-51
SPRR4	13.3464250996016	5.7085806	-1.22524938234364	0.00349774813156999	0.0160897611296146
C4A	2.29994262948207	4.6323486	1.01014595056139	1.43614129680712e-23	1.4677036416571e-21
CLDN18	2.44556454183267	25.029742	3.35540397517226	3.38659015299354e-43	1.05842755967628e-40
SOD3	19.3260235059761	40.1896736	1.05628003932636	1.48307542559907e-15	8.03671396960722e-14
LINC01257	0.0556346613545817	0.1745144	1.64929019277888	7.77033511440824e-08	1.51451100221222e-06
AC012101.2	0.107053386454183	0.2785058	1.37937693892577	0.00162939182888069	0.00883831158457119
Z82186.1	0.0663163346613546	0.1668994	1.33154259261284	2.02224653056174e-05	0.000218640153855344
AL606469.1	0.105188446215139	0.285016	1.43806666113619	6.13586170959127e-06	7.67068330373926e-05
CADM3-AS1	0.0803035856573705	0.2037722	1.34342093011962	4.7129780329786e-12	1.78165152700983e-10
RS1	0.032897609561753	0.1250486	1.92643424333966	2.34610751135618e-23	2.36174822809855e-21
AP001189.1	0.418289641434263	0.8751792	1.06507617925525	1.97634259921017e-09	5.17235992030876e-08
AC135012.3	0.0107752988047809	0.0521292	2.27436384323385	2.67943433575358e-19	1.99495390793309e-17
CLDN6	3.68008764940239	7.3816508	1.00420336270206	0.000248503173555103	0.00188148402783495
C1orf127	0.344915139442231	0.9813884	1.5085827641225	0.000107782853441456	0.000930012049694849
AC023090.1	0.0982749003984064	0.2441686	1.31298278056427	4.97896070888699e-09	1.21658641757695e-07
AC005358.1	0.00834741035856574	0.0212282	1.34658144555141	7.07083623665224e-06	8.6860117170356e-05
FREM3	0.0280629482071713	0.0568616	1.01878811282661	8.90613070704733e-06	0.000105966791121743
HNF1B	0.227350996015936	2.1739644	3.25733508594257	7.46241400797791e-65	2.228608485627e-61
ABCC13	0.0671482071713147	0.1849686	1.461859595786	2.04322116578717e-11	7.00480848138107e-10
CHI3L2	5.95269482071713	12.2574162	1.04204006028933	9.02429478981708e-16	4.9299795805021e-14
NT5C1A	0.0322880478087649	0.1563346	2.27556499032261	2.20387632254721e-18	1.52277089453532e-16
RERGL	0.462124701195219	4.4242592	3.25908179919997	0.000342223623630126	0.00246075081753091
RIMS1	0.136305976095618	0.3477746	1.35130375213501	3.20536449107842e-18	2.19220831529786e-16
LINC02714	0.155737450199203	0.3427042	1.13784796171935	0.00885189418921754	0.0331736213075556
AC113349.1	0.265867729083665	0.5850748	1.13791240648964	0.00184236384247443	0.00976322069361745
AL355312.3	0.630268924302789	1.5147192	1.26501093352776	3.06634930055717e-07	5.24283311071092e-06
LINC01649	0.0538111553784861	0.123253	1.19564557416431	9.49120010485933e-11	2.98019248152347e-09
PCDHAC1	0.248257370517928	0.563054	1.18143674080231	3.3670562647333e-13	1.47634157069334e-11
CYP17A1	0.027995219123506	0.0752752	1.42699416375379	2.29683033131031e-23	2.32083479868265e-21
FCRL1	0.782910358565737	1.673926	1.09631671460607	9.05343897686384e-08	1.73194542932488e-06
AL135999.3	0.210579282868526	1.2803296	2.6040798425976	4.20591066708198e-32	6.72895636368033e-30
CALML5	178.095253386454	86.7654712	-1.03745613258504	0.000529355868351935	0.00351049272873509
AC087273.2	0.120516733067729	0.410559	1.76835609114631	4.23737946078626e-10	1.21679791823732e-08
C4BPB	0.677872908366534	1.4692124	1.11595625862587	1.05742711604843e-36	2.23791543505116e-34
AP000866.5	0.43322390438247	0.8712302	1.00794111395064	7.49604934074705e-11	2.40428179213126e-09
CIB4	0.0472848605577689	0.109376	1.20984595988179	5.52196140789333e-08	1.11092274492034e-06
RIIAD1	0.145886055776892	0.3686328	1.33734245121737	9.3716732135681e-12	3.39476863388522e-10
AL596218.1	0.0303844621513944	0.0888482	1.54800879426097	6.89352921291629e-09	1.65284815508264e-07
AC027288.1	0.0970254980079681	0.549145	2.50075130045327	2.77888502868948e-30	3.99416426743935e-28
AC010627.1	0.0365183266932271	0.0819134	1.1654788168143	8.02386479671195e-05	0.000718024191807043
FGG	5.17023346613546	86.3820246	4.06242979725956	9.19755524138228e-52	4.94423779555746e-49
SLC46A2	0.275309561752988	2.0082862	2.86683825975273	4.27288448650661e-55	3.28133112080928e-52
C8orf34-AS1	0.373073705179283	2.8832244	2.95015054004148	1.87927242880606e-61	2.66175402970175e-58
AC095032.1	0.0243103585657371	0.0595452	1.29241404308078	6.72706834637312e-09	1.61437627690908e-07
