Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-39-5040-11A-01R-2125-07	0.051696865912842	0	0.0150233947263016	0.174241166170733	0	0.144652404461538	0.00140250447637438	0.00634269710860796	0	0	0.0932623629655125	0	0.022700879519444	0.113757227836697	0.0541819851362426	0.150884516649262	0	0.0332930497634805	0	0.0796841774828088	0.037140197201684	0.0217365705884728	0.038	0.147153998213453	1.02592168377551
TCGA-43-6771-11A-01R-1820-07	0.0506071049948542	0	0.0081043279482881	0.0692396877432609	0	0.240288813659401	0.0187513529182306	0	0	0	0.0611027428954318	0	0.0313565094137964	0.145037315621119	0.0268246516302318	0.160696672131581	0	0.0334171345128415	0	0.0890626166911024	0.00271731458905728	0.062793755250804	0.016	0.242869225447271	0.984706642274147
TCGA-77-7335-11A-01R-2045-07	0.0415445170911328	0	0.00784203547183391	0.169803429332034	0	0.300785552389585	0.0379389195533454	0.00564760660060782	0	0	0	0.0218571435246597	0.0233422773598648	0.0645448999561529	0.0567333271182597	0.132809122516767	0.0284119701378005	0	0.0869843586899277	0	0.00984581246207645	0.0119090277959532	0.0600000000000001	0.123488335788185	1.03750814367717
TCGA-33-4587-11A-01R-2125-07	0.0269655550779237	0	0	0.169789445839073	0	0.163161582362953	0.00745966186355636	0.0242322980251483	0	0	0.0187958523581051	0.021020117130175	0.021934839127166	0.170547243654587	0.0224665055818506	0.194149182838989	0.0344052308096207	0.00692426211788645	0.10740681343634	0	0	0.0107414097766258	0.104	0.0838172871644179	1.05042378252175
TCGA-22-4609-11A-01R-2125-07	0.0974981808390949	0	0.0170217841703487	0.0954363243849985	0	0.343604047915504	0	0	0	0	0.0878591825462427	0	0.021305931181962	0.11375248494347	0.0471604865533258	0.0715161403372784	0	0.0332454205324486	0	0.0592174821694937	0	0.0123825344258327	0.037	0.151494746546672	1.03050415749721
TCGA-77-7337-11A-01R-2045-07	0.0881643482264019	0	0.0166567200747403	0.088102976526479	0	0.297925178449604	0.00544341261709191	0.0204299467418229	0	0	0.0324251058189368	0.0333238907001779	0.0577220596411069	0.075008438189949	0.0530481845147956	0.110867156859528	0.0150789254104072	0.00482310418545109	0.0826177320002246	0	0	0.018362820043283	0.021	0.221402567817903	0.992490027023972
TCGA-92-7340-11A-01R-2045-07	0.0944597971340088	0	0.0167252541187077	0.0401044132886436	0	0.141132698151221	0	0	0	0	0.0376031821621262	0	0.0335970501280354	0.076041154386052	0.00771845796764854	0.0730045529343538	0	0.0169606307297476	0	0.38055211870507	0.014641456762125	0.0674592335322596	0.00900000000000001	0.304954205703116	0.981599007382687
TCGA-77-7142-11A-01R-2045-07	0.0467769476536476	0	0.00682504558782865	0.0800978353754913	0	0.264484065062808	0	0	0	0	0.05602157191226	9.62829401935375e-05	0.0580978069468911	0.14038701105814	0	0.15009944313368	0.00659064321986367	0.04582624493848	0.0974538340438575	0	0	0.0472432681268585	0.037	0.150890160697032	1.01922014250104
TCGA-60-2709-11A-01R-1820-07	0.0877496131905681	0	0.0292179562040365	0.0866657030950938	0	0.146846605737744	0.0100523415180885	0	0	0	0.0674911256698577	0	0.132578056109971	0.0804935640391433	0	0.0905611655355324	0	0.0674742471108923	0	0.068120505993454	0.00270889970832689	0.130040216087292	0.013	0.262672283454106	0.975876119850318
TCGA-56-8201-11A-01R-2247-07	0.0685058391760093	0	0.00915029816465404	0.0919211867919293	0	0.218317407551299	0.0192693083935095	0.0135800224486301	0	0	0.0693710196210169	0	0.0939932480851776	0.0711160541341979	0.0333695617799875	0.15532925651553	0.00678658466204152	0.00541054682932122	0.0035549870501795	0.0371920954451093	0.0118862673379851	0.0912463160134219	0.033	0.166173012260678	1.01488246223892
TCGA-77-7138-11A-01R-2045-07	0.0990733581230732	0	0.0114345158476766	0.0887810455792668	0	0.166861280886089	0	0.00452007003114294	0	0	0.0744746322696232	0.0270901929549843	0.0751328481620351	0.130490734391846	0.0135487580352551	0.139254301459292	0.012093471962507	0.00694627875383972	0.0989687142506999	0	0	0.0513297972926684	0.021	0.22338477131431	0.989005125178829
TCGA-56-7730-11A-01R-2125-07	0.142088123868294	0	0.0331634516562926	0.0911264010490268	0	0.13367982780809	0	0.0174812312962662	0.0102052584059713	0	0.0306208164246575	0.00084836934736803	0.0282018503724547	0.133349740202886	0.0145866504470483	0.172609849817126	0.00101155711410411	0.0249968751979287	0.0314553223365325	0.0345397768188173	0	0.100034897837137	0.012	0.276619900809828	0.969471422818442
TCGA-34-7107-11A-01R-1949-07	0.0795169606237651	0	0.0754642155160433	0.107407325459488	0	0.161531730114223	0.0146622894825037	0.0691095202606121	0.024619531170633	0	0.0113009084314555	0	0.0588426042245898	0.09045359201286	0.034033244161211	0.147700591879327	0.00977904115178917	0	0	0.0655077877617881	0.0130790035881134	0.0369916541615978	0.018	0.235162058006774	0.985730195700354
TCGA-33-6737-11A-01R-1820-07	0.0660693956510179	0	0.0200145689701652	0.117035360162825	0	0.365647021850223	0.0198043492853124	0.0100927296644568	0	0	0.086011245009248	0	0.0460648413714025	0	0.040726899968471	0.0718557555193903	0.00538315351537567	0.0711553644968517	0.0650713927427726	0	0	0.0150679217924876	0.036	0.156489399334792	1.03103951500982
TCGA-58-8386-11A-01R-2296-07	0.0803913589568152	0.0137567404567472	0.027560221368878	0.127127798127224	0	0.229623129207135	0.0257069122094926	0.0390440688499037	0	0.00476550733858413	0	0.000993888549649546	0.0251304435176319	0.0771499420825376	0.0804104145372266	0.143250144606607	0.018626123725159	0.000625358775034329	0.0196865445731593	0	0.0296245554573526	0.056526847660863	0.033	0.166632161873311	1.01552966913255
TCGA-34-8454-11A-01R-2326-07	0.105150120671212	0	0.0711350768577024	0.0906003159785153	0	0.309734391257346	0	0	0.020719220061419	0	0.00939564163864615	0.0444286225263985	0.0261989790226157	0.081772571242636	0.0314083275739642	0.111927155302563	0.0118408056465057	0.0142385647988295	0.0673467201448456	0	0	0.00410348727680192	0.016	0.242646790586104	0.986468882881537
TCGA-43-7658-11A-01R-2125-07	0.019687970940264	0	0.00476282965316941	0.139663566571622	0	0.180551343210378	0	0	0.0123780501851839	0	0.0547287230643897	0	0.0664272419200847	0.160863525807252	0.03474959554517	0.192635901174288	0.0207652631102047	0	0.080314378227483	0	0.000609884475980017	0.0318617261145308	0.015	0.245997059271084	0.983044675808226
