Cell	cor	pvalue
B cells naive	0.0522871280709811	0.31256884094861
B cells memory	-0.0163258684288886	0.752674616592107
Plasma cells	-0.0230217421876173	0.656764479183241
T cells CD8	-0.0754322791818315	0.144856796737375
T cells CD4 naive	0.0733912743875618	0.156078498201501
T cells CD4 memory resting	0.127350360536114	0.0135888373900318
T cells CD4 memory activated	-0.0925295638272894	0.0735043198246769
T cells follicular helper	-0.0625519472674566	0.226873048463145
T cells regulatory (Tregs)	0.0581792609606347	0.261086230434678
T cells gamma delta	-0.0404828839425612	0.434419717897536
NK cells resting	-0.0576290918984986	0.265630160512591
NK cells activated	0.0344839722198583	0.505572233398427
Monocytes	0.199542510353867	0.00010007142909404
Macrophages M0	-0.0676983516191223	0.190840264495074
Macrophages M1	-0.143930153632121	0.00523115035542226
Macrophages M2	0.123696607618585	0.0165485003717896
Dendritic cells resting	0.042412187878204	0.412823424390351
Dendritic cells activated	0.0493597537047655	0.340469689644856
Mast cells resting	0.22084849320536	1.58996334635557e-05
Mast cells activated	-0.0826302193042788	0.110150225329475
Eosinophils	-0.094377505601842	0.0679123701613429
Neutrophils	0.200198897802018	9.48190116049978e-05
